#weight  minuslogpost     logGnu      logA         ns  theta_MC_100       ombh2      omch2         tau  A_planck         Gnu            As        H0     omegam   omegamh2   omega_de        YHe        Y_p     DHBBN       zre     sigma8       s8h5  s8omegamp5  s8omegamp25         A     clamp       age     rdrag  chi2__CMB  minuslogprior  minuslogprior__0      chi2  chi2__planck_2018_lowl.TT  chi2__planck_2018_lowl.EE  chi2__planck_2018_highl_plik.TTTEEE_lite  chi2__planck_2018_lensing.clik
35 516.01607 -1.3222773  2.949894 0.91933085 1.0475373 0.022078263 0.12145702  0.04638787 1.0030205 0.047612689 1.9103929e-09 69.336295 0.29856399 0.14353529 0.70134899 0.24527852 0.24660461 2.6412458 6.9389298 0.80900832 0.97156681 0.44205031 0.59801536 1.9103929  1.741128 13.608676 147.04229 1051.9103 -9.9390606 -9.9390606 1051.9103 29.007247 395.75338 617.76813 9.3814969
 3 515.88281 -1.3161368 2.9501874 0.91913543 1.0475178 0.022091753 0.12145184 0.046672762 1.0028622 0.048290661 1.9109535e-09 69.342877 0.29852457 0.14354359 0.70138843 0.24528434 0.24661045 2.6386578 6.9668867 0.80880844 0.97128067 0.44191192 0.59784788 1.9109535 1.7406469 13.607886 147.02863 1051.7927 -10.013544 -10.013544 1051.7927 29.109052 395.72962 617.54193 9.4120984
24 515.81021 -1.3192072 2.9503022 0.91923478 1.0475236 0.022092439 0.12143141 0.046775959 1.0028468 0.047950458 1.9111729e-09 69.352618 0.29839968 0.14352385 0.70151334 0.24528463 0.24661074 2.6385263  6.977626 0.80889721 0.97131905 0.44186796 0.59785096 1.9111729 1.7404875 13.607565 147.03322 1051.6616 -10.020575 -10.020575 1051.6616 29.075472 395.72137 617.47888 9.3858429
16 515.95917 -1.3262557 2.9500414 0.91956621 1.0475428 0.022094317  0.1213196 0.046610839 1.0030083  0.04717852 1.9106744e-09 69.400081 0.29776341 0.14341391 0.70214973 0.24528543 0.24661155 2.6381661  6.957878 0.80869982 0.97074991 0.44128891 0.59738619 1.9106744 1.7406082 13.606365 147.06046 1051.8082 -9.9449466 -9.9449466 1051.8082 28.942274 395.72511 617.84374 9.2970957
37 515.86628 -1.3262557 2.9500414 0.91956621 1.0475428 0.022094317  0.1213196 0.046610839 1.0028372  0.04717852 1.9106744e-09 69.400081 0.29776341 0.14341391 0.70214973 0.24528543 0.24661155 2.6381661  6.957878 0.80869982 0.97074991 0.44128891 0.59738619 1.9106744 1.7406082 13.606365 147.06046 1051.7824 -10.024935 -10.024935 1051.7824 28.982485 395.72511 617.76336 9.3114746
49 515.84508 -1.3306598 2.9502509 0.91962332 1.0475406 0.022094728 0.12132452 0.046664881 1.0028829 0.046702503 1.9110748e-09 69.397953 0.29779275 0.14341925 0.70212039 0.24528561 0.24661173 2.6380872 6.9636992  0.8089352 0.97104733 0.44143909 0.59757478 1.9110748 1.7407848 13.606408 147.05871 1051.6982 -10.004029 -10.004029 1051.6982 28.960672 395.73049 617.70593 9.3011337
 5  514.4311 -1.3679719 2.9675665  0.9242711 1.0473778  0.02219816  0.1208727 0.056097635 1.0029027 0.042857627 1.9444543e-09 69.589609  0.2954353 0.14307086 0.70447832 0.24532883  0.2466551 2.6182679 7.9209904 0.81622411 0.97844681 0.44365013 0.60176235 1.9444543 1.7380888 13.599056 147.06235  1048.852 -9.9948811 -9.9948811  1048.852 27.837704 396.88152 614.70025 9.4324901
 2 514.08286 -1.3208283  2.969174 0.92442169 1.0474253 0.022204816 0.12084718 0.056705451  1.003091 0.047771814 1.9475826e-09 69.620377 0.29513532   0.143052 0.70477837 0.24533157 0.24665786 2.6169929 7.9806783 0.81552003 0.97738675 0.44304233 0.60109059 1.9475826 1.7387701 13.596897 147.06161 1047.9749    -9.9046    -9.9046 1047.9749 27.885964 397.09322 613.02117 9.9745596
 1 514.07667 -1.3208283  2.969174 0.92442169 1.0474253 0.022204816 0.12084718 0.056705451 1.0031741 0.047771814 1.9475826e-09 69.620377 0.29513532   0.143052 0.70477837 0.24533157 0.24665786 2.6169929 7.9806783 0.81552003 0.97738675 0.44304233 0.60109059 1.9475826 1.7387701 13.596897 147.06161 1047.8792 -9.8629096 -9.8629096 1047.8792 27.867513 397.08479 612.97494 9.9519312
19  515.5374 -1.3506976 2.9641182 0.92726999 1.0476969 0.022134931  0.1201738 0.056943984 1.0016574 0.044596664 1.9377609e-09 69.893046 0.29131551 0.14230873 0.70859886 0.24530262  0.2466288 2.6303802 8.0104707 0.81330565 0.97282966 0.43897075 0.59750932 1.9377609 1.7291763 13.593071 147.31721 1051.9731  -10.44917  -10.44917 1051.9731 26.828651 397.06408 618.79432 9.2860946
