#weight  minuslogpost      logGnu      logA         ns  theta_MC_100       ombh2      omch2         tau   A_planck        Gnu            As        H0     omegam   omegamh2   omega_de        YHe        Y_p     DHBBN       zre     sigma8       s8h5  s8omegamp5  s8omegamp25         A     clamp       age     rdrag  chi2__CMB  minuslogprior  minuslogprior__0      chi2  chi2__planck_2018_lowl.TT  chi2__planck_2018_lowl.EE  chi2__planck_2018_highl_plik.TTTEEE_lite  chi2__planck_2018_lensing.clik
 3 548.79107  -0.5566427 2.9616915 0.92283869 1.0492545 0.022649554 0.12011325 0.082052463  1.0019055 0.27756027 1.9330642e-09 70.882427 0.28414363 0.14276281 0.71577311 0.24550053 0.24682742 2.5356372 10.243199 0.79989729 0.95009042 0.42638624 0.58400788 1.9330642 1.6405007 13.496485  146.7617  1118.339 -10.378449 -10.378449  1118.339 25.658685 410.84073 673.23743 8.6022012
 2 550.23031 -0.56814628 2.9663355 0.92118076 1.0493596 0.022685495 0.12109259 0.085310607 0.99980822 0.27030477 1.9420622e-09 70.600611 0.28845348 0.14377809 0.71146259 0.24551372 0.24684067  2.529332 10.541411 0.80469585 0.95769569 0.43218497 0.58972659 1.9420622  1.637432 13.493894 146.46577 1121.7926 -10.665978 -10.665978 1121.7926 26.379818 413.84577 672.82014 8.7468437
 9  550.3379 -0.57842102 2.9673578 0.92129827 1.0493676  0.02268433 0.12110501 0.085625377 0.99998524 0.26398483 1.9440486e-09 70.597945 0.28849785 0.14378934 0.71141821 0.24551329 0.24684023 2.5295372 10.569574 0.80524909 0.95837221 0.43251536 0.59015472 1.9440486 1.6380753 13.493828 146.46381 1122.0136 -10.668903 -10.668903 1122.0136 26.354722 414.11864 672.78629 8.7539709
 8 550.42123 -0.60050316 2.9652196 0.91994524 1.0494374    0.022625 0.12134887  0.08458396 0.99970658 0.25089779 1.9398963e-09 70.484709 0.28979699 0.14397388 0.71011881 0.24549174  0.2468186 2.5399241 10.501639 0.80527967 0.95917816 0.43350456 0.59084043 1.9398963 1.6379847 13.498641  146.4654 1122.1665 -10.662032 -10.662032 1122.1665 26.643275 413.46203 673.33879  8.722434
 6  551.0252  -0.4995996 2.9669064 0.91990125  1.049426 0.022618208 0.12135792 0.085252067 0.99987807 0.31651945 1.9431713e-09 70.471792 0.28990778 0.14397613 0.71000798 0.24548933 0.24681619 2.5411084  10.56252 0.80549209  0.9595191 0.43370179 0.59105276 1.9431713  1.638559 13.499681 146.47051 1123.3859 -10.667731 -10.667731 1123.3859 26.835847 414.08194 673.22841 9.2396705
26 551.46606  -0.5036334 2.9664881  0.9197806  1.049381 0.022610661 0.12137736 0.085323846 0.99962763 0.31359317 1.9423586e-09 70.443103 0.29016794 0.14398803 0.70974776 0.24548667 0.24681351 2.5424241 10.571438 0.80537873  0.9595794 0.43383528 0.59110211 1.9423586 1.6376386  13.50181 146.47373 1124.2478 -10.657827 -10.657827 1124.2478 26.851295 414.16066 674.03549 9.2003324
19 550.56227 -0.66838506 2.9701128 0.92310736  1.049701 0.022686372 0.12025754 0.087154643  1.0007593  0.2145927 1.9494118e-09 71.015179 0.28344141 0.14294391 0.71647564 0.24551405   0.246841 2.5291775 10.683153 0.80457545 0.95475334 0.42834966 0.58706015 1.9494118 1.6375782 13.480504 146.68323 1122.3701 -10.622795 -10.622795 1122.3701 25.866033 415.01683 672.81025 8.6770104
13 545.25178  -0.5632924 2.9726203 0.92390942 1.0499119 0.022886636 0.12028288 0.086557177  1.0019248 0.27334277 1.9543061e-09  71.25062 0.28201568 0.14316951 0.71790192 0.24559806 0.24692531 2.4931471  10.57276 0.80457853 0.95317823 0.42727262 0.58632276 1.9543061 1.6436524  13.45475 146.45649 1111.2486 -10.372535 -10.372535 1111.2486 25.944191  414.2291 662.42747 8.6478777
26 544.52804  -0.5632924 2.9726203 0.92390942 1.0499119 0.022886636 0.12028288 0.086557177  1.0008869 0.27334277 1.9543061e-09  71.25062 0.28201568 0.14316951 0.71790192 0.24559806 0.24692531 2.4931471  10.57276 0.80457853 0.95317823 0.42727262 0.58632276 1.9543061 1.6436524  13.45475 146.45649 1110.2681  -10.60599  -10.60599 1110.2681 26.148137 414.30488 661.06008 8.7549549
 9 544.55699 -0.56123662 2.9725585 0.92391533 1.0499126 0.022886368 0.12028107 0.086521147  1.0008941 0.27463974 1.9541854e-09 71.251248 0.28200662 0.14316744 0.71791098 0.24559794 0.24692519 2.4931955 10.569685 0.80454084 0.95312938 0.42724574 0.58629058 1.9541854 1.6436693 13.454751 146.45725 1110.3239 -10.604971 -10.604971 1110.3239 26.146388 414.25101 661.16793 8.7586066
 5 543.58862 -0.62220699 2.9736973 0.92436999 1.0499295 0.022884968 0.12016837 0.086981229  1.0011472 0.23866735  1.956412e-09 71.296162 0.28142696 0.14305334 0.71849074  0.2455973 0.24692454 2.4934484 10.607268 0.80506254 0.95344697 0.42708318 0.58636905  1.956412 1.6440287 13.453933 146.48826 1108.3045 -10.563631 -10.563631 1108.3045 25.966802 414.53632  659.1631 8.6382712
50 543.55009 -0.59268126 2.9733715 0.92435509   1.04993   0.0228876 0.12018234 0.086827018  1.0011161 0.25545755 1.9557748e-09  71.29359 0.28147993 0.14306994 0.71843777  0.2455985 0.24692576  2.492973 10.593507 0.80481308 0.95316873 0.42699102 0.58621495 1.9557748 1.6440001 13.453718 146.48172 1108.2387 -10.569269 -10.569269 1108.2387 25.999506 414.43798 659.12805 8.6731837
 9 540.93508 -0.64602942 2.9728757 0.92829235 1.0498894 0.022810344 0.11702886 0.090000484  1.0018208 0.22592827 1.9548054e-09  72.36073 0.26706875 0.13983921 0.73285135 0.24556405 0.24689118  2.506965 10.814084 0.79477192 0.93431011 0.41072776 0.57134481 1.9548054 1.6327891 13.448638 147.40072 1102.6776 -10.403704 -10.403704 1102.6776 24.966013 416.08665   651.608 10.016911
58 543.19198 -0.68496918 2.9509309 0.92828112 1.0495614  0.02275906 0.11753724 0.081999062 0.99877111 0.20655267 1.9123747e-09 72.016131 0.27051206  0.1402963 0.72940728 0.24554251 0.24686956 2.5162287 10.150518 0.78823825 0.92884363 0.40996881 0.56846556 1.9123747 1.6231158 13.465517 147.32201 1107.4802 -10.548107 -10.548107 1107.4802 24.274247 409.69863 661.45908 12.048221
29  541.7144 -0.68496918 2.9509309 0.92828112 1.0495614  0.02275906 0.11753724 0.081999062 0.99835052 0.20655267 1.9123747e-09 72.016131 0.27051206  0.1402963 0.72940728 0.24554251 0.24686956 2.5162287 10.150518 0.78823825 0.92884364 0.40996881 0.56846556 1.9123747 1.6231158 13.465517 147.32201 1104.3313 -10.451256 -10.451256 1104.3313 24.345387 409.72856 658.46871 11.788663
